Date,Open,High,Low,Close,Adj Close,Volume
10/8/2018,2877.530029,2889.449951,2862.080078,2884.429932,2884.429932,3330320000
10/9/2018,,2894.830078,2874.27002,2880.340088,2880.340088,3520500000
10/10/2018,,2874.02002,2784.860107,2785.679932,2785.679932,4501250000
10/11/2018,,,2710.51001,2728.370117,2728.370117,4890630000
10/12/2018,2770.540039,,2729.439941,2767.129883,2767.129883,3966040000
10/15/2018,2763.830078,,,2750.790039,2750.790039,3300140000
10/16/2018,2767.050049,2813.459961,,2809.919922,2809.919922,3428340000
10/17/2018,2811.669922,2816.939941,,2809.209961,2809.209961,3321710000
10/18/2018,2802,2806.040039,2755.179932,,2768.780029,3616440000
10/19/2018,2775.659912,2797.77002,2760.27002,,2767.780029,3566490000
10/22/2018,2773.939941,2778.939941,2749.219971,,2767.780029,3307140000
10/23/2018,2721.030029,2753.590088,2691.429932,2740.689941,2740.689941,4348580000
10/24/2018,2737.870117,2742.590088,2651.889893,2656.100098,,
10/25/2018,2674.879883,2722.699951,2667.840088,2705.570068,,
10/26/2018,2667.860107,2692.379883,2628.159912,2658.689941,,
10/29/2018,2682.649902,2706.850098,2603.540039,2641.25,2641.25,4673700000
10/30/2018,2640.679932,2685.429932,2635.340088,2682.629883,2682.629883,5106380000
10/31/2018,2705.600098,2736.689941,2705.600098,2711.73999,2711.73999,5112420000
11/1/2018,2717.580078,2741.669922,2708.850098,2740.370117,2740.370117,4708420000
11/2/2018,2745.449951,2756.550049,2700.439941,2723.060059,2723.060059,4237930000
11/5/2018,2726.370117,2744.27002,2717.939941,2738.310059,2738.310059,3623320000
11/6/2018,2738.399902,2756.820068,2737.080078,2755.449951,2755.449951,3510860000
11/7/2018,2774.129883,2815.149902,2774.129883,2813.889893,2813.889893,3914750000
11/8/2018,2806.379883,2814.75,2794.98999,2806.830078,2806.830078,3630490000
11/9/2018,2794.100098,2794.100098,2764.23999,2781.01001,2781.01001,4019090000
11/12/2018,2773.929932,2775.98999,2722,2726.219971,2726.219971,3670930000
11/13/2018,2730.050049,2754.600098,2714.97998,2722.179932,2722.179932,4091440000
11/14/2018,2737.899902,2746.800049,2685.75,2701.580078,2701.580078,4402370000
11/15/2018,2693.52002,2735.379883,2670.75,2730.199951,2730.199951,4179140000
11/16/2018,2718.540039,2746.75,2712.159912,2736.27002,2736.27002,3975180000
11/19/2018,2730.73999,2733.159912,2681.090088,2690.72998,2690.72998,3772900000
11/20/2018,2654.600098,2669.439941,2631.52002,2641.889893,2641.889893,4357900000
11/21/2018,2657.73999,2670.72998,2649.820068,2649.929932,2649.929932,3233550000
11/23/2018,2633.360107,2647.550049,2631.090088,2632.560059,2632.560059,1651650000
11/26/2018,2649.969971,2674.350098,2649.969971,2673.449951,2673.449951,3443950000
11/27/2018,2663.75,2682.530029,2655.889893,2682.169922,2682.169922,3485220000
11/28/2018,2691.449951,2744,2684.379883,2743.790039,2743.790039,3951670000
11/29/2018,2736.969971,2753.75,2722.939941,2737.800049,2737.800049,3560770000
11/30/2018,2737.76001,2760.879883,2732.76001,2760.169922,2760.169922,4658580000
12/3/2018,2790.5,2800.179932,2773.379883,2790.370117,2790.370117,4186060000
12/4/2018,2782.429932,2785.929932,2697.179932,2700.060059,2700.060059,4499840000
12/6/2018,2663.51001,2696.149902,2621.530029,2695.949951,2695.949951,5141470000
12/7/2018,2691.26001,2708.540039,2623.139893,2633.080078,2633.080078,4216690000
12/10/2018,2630.860107,2647.51001,2583.22998,2637.719971,2637.719971,4151030000
12/11/2018,2664.439941,2674.350098,2621.300049,2636.780029,2636.780029,3905870000
12/12/2018,2658.22998,2685.439941,2650.26001,2651.070068,2651.070068,3958890000
12/13/2018,2658.699951,2670.189941,2637.27002,2650.540039,2650.540039,3927720000
12/14/2018,2629.679932,2635.070068,2593.840088,2599.949951,2599.949951,4035020000
12/17/2018,2590.75,2601.129883,2530.540039,2545.939941,2545.939941,4616350000
12/18/2018,2559.899902,2573.98999,2528.709961,2546.159912,2546.159912,4470880000
12/19/2018,2547.050049,2585.290039,2488.959961,2506.959961,2506.959961,5127940000
12/20/2018,2496.77002,2509.629883,2441.179932,2467.419922,2467.419922,5585780000
12/21/2018,2465.379883,2504.409912,2408.550049,2416.620117,2416.620117,7609010000
12/24/2018,2400.560059,2410.340088,2351.100098,2351.100098,2351.100098,2613930000
12/26/2018,2363.120117,2467.76001,2346.580078,2467.699951,2467.699951,4233990000
12/27/2018,2442.5,2489.100098,2397.939941,2488.830078,2488.830078,4096610000
12/28/2018,2498.77002,2520.27002,2472.889893,2485.73999,2485.73999,3702620000
12/31/2018,2498.939941,2509.23999,2482.820068,2506.850098,2506.850098,3442870000
1/2/2019,2476.959961,2519.48999,2467.469971,2510.030029,2510.030029,3733160000
1/3/2019,2491.919922,2493.139893,2443.959961,2447.889893,2447.889893,3822860000
1/4/2019,2474.330078,2538.070068,2474.330078,2531.939941,2531.939941,4213410000
1/7/2019,2535.610107,2566.159912,2524.560059,2549.689941,2549.689941,4104710000
1/8/2019,2568.110107,2579.820068,2547.560059,2574.409912,2574.409912,4083030000
1/9/2019,2580,2595.320068,2568.889893,2584.959961,2584.959961,4052480000
